transaction_id,product_id,customer_id,transaction_date,comparison date,recency (days),online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,
1,2,2950,25/02/2017,30/12/2017,308,FALSE,Approved,Solex,Standard,medium,medium,$71.49,$53.62,02/12/2012,$17.87,M,19,11/01/1955,Software Engineer I,Financial Services,Mass Customer,N,Yes,10,
2,3,3120,21/05/2017,30/12/2017,223,TRUE,Approved,Trek Bicycles,Standard,medium,large,"$2,091.47",$388.92,03/03/2014,"$1,702.55",F,89,04/02/1979,Clinical Specialist,Health,Mass Customer,N,Yes,10,
3,37,402,16/10/2017,30/12/2017,75,FALSE,Approved,OHM Cycles,Standard,low,medium,"$1,793.43",$248.82,20/07/1999,"$1,544.61",M,9,03/06/1977,Desktop Support Technician,Retail,Affluent Customer,N,No,22,
4,88,3135,31/08/2017,30/12/2017,121,FALSE,Approved,Norco Bicycles,Standard,medium,medium,"$1,198.46",$381.10,16/12/1998,$817.36,M,83,14/01/1962,Staff Scientist,Financial Services,Mass Customer,N,No,16,
5,78,787,01/10/2017,30/12/2017,90,TRUE,Approved,Giant Bicycles,Standard,medium,large,"$1,765.30",$709.48,10/08/2015,"$1,055.82",F,29,15/12/1996,0,Retail,Affluent Customer,N,Yes,2,
6,25,2339,08/03/2017,30/12/2017,297,TRUE,Approved,Giant Bicycles,Road,medium,medium,"$1,538.99",$829.65,10/11/2006,$709.34,M,3,28/12/1958,Web Designer II,Property,Affluent Customer,N,Yes,16,
7,22,1542,21/04/2017,30/12/2017,253,TRUE,Approved,WeareA2B,Standard,medium,medium,$60.34,$45.26,15/07/1993,$15.08,M,56,27/07/1978,Food Chemist,Health,Mass Customer,N,Yes,12,
8,15,2459,15/07/2017,30/12/2017,168,FALSE,Approved,WeareA2B,Standard,medium,medium,"$1,292.84",$13.44,12/04/2009,"$1,279.40",F,67,10/01/1986,Quality Engineer,Manufacturing,High Net Worth,N,No,18,
9,67,1305,10/08/2017,30/12/2017,142,FALSE,Approved,Solex,Standard,medium,large,"$1,071.23",$380.74,05/08/1991,$690.49,M,97,01/03/1970,Executive Secretary,Financial Services,High Net Worth,N,Yes,6,
10,12,3262,30/08/2017,30/12/2017,122,TRUE,Approved,WeareA2B,Standard,medium,medium,"$1,231.15",$161.60,17/08/2004,"$1,069.55",M,65,14/10/1959,Product Engineer,Entertainment,Mass Customer,N,No,12,
11,5,1986,17/01/2017,30/12/2017,347,FALSE,Approved,Trek Bicycles,Mountain,low,medium,$574.64,$459.71,29/08/2011,$114.93,F,53,30/12/1981,0,Retail,Mass Customer,N,No,16,
12,61,2783,05/01/2017,30/12/2017,359,TRUE,Approved,OHM Cycles,Standard,low,medium,$71.16,$56.93,17/06/2015,$14.23,M,14,24/08/1978,Sales Representative,Retail,Affluent Customer,N,Yes,7,
13,35,1243,26/02/2017,30/12/2017,307,TRUE,Approved,Trek Bicycles,Standard,low,medium,"$1,057.51",$154.40,12/07/1994,$903.11,M,73,09/08/1953,Research Assistant II,Retail,Mass Customer,N,No,8,
14,16,2717,10/09/2017,30/12/2017,111,FALSE,Approved,Norco Bicycles,Standard,high,small,"$1,661.92","$1,479.11",09/09/1994,$182.81,M,31,25/03/1981,Registered Nurse,Health,Mass Customer,N,No,13,
15,12,247,11/06/2017,30/12/2017,202,FALSE,Approved,Giant Bicycles,Standard,medium,large,"$1,765.30",$709.48,25/07/2004,"$1,055.82",F,62,06/05/1983,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,
16,3,2961,10/10/2017,30/12/2017,81,FALSE,Approved,Trek Bicycles,Standard,medium,large,"$2,091.47",$388.92,09/09/2003,"$1,702.55",M,56,22/03/1975,Assistant Manager,Health,Mass Customer,N,Yes,12,
17,79,2426,03/04/2017,30/12/2017,271,FALSE,Approved,Norco Bicycles,Standard,medium,medium,"$1,555.58",$818.01,07/08/2004,$737.57,U,64,00/01/1900,0,IT,Affluent Customer,N,Yes,0,
18,33,1842,02/06/2017,30/12/2017,211,FALSE,Approved,Giant Bicycles,Standard,medium,small,"$1,311.44","$1,167.18",11/10/1992,$144.26,M,89,27/02/1977,Accountant IV,Financial Services,Mass Customer,N,No,8,
19,54,2268,06/04/2017,30/12/2017,268,TRUE,Approved,WeareA2B,Standard,medium,medium,"$1,292.84",$13.44,12/04/2009,"$1,279.40",F,66,07/10/1965,Pharmacist,Health,Mass Customer,N,No,19,
